task_id,title,status,priority,due_date,overdue_days,assigned_to,project_name,category_name
39,  HookTest  ,pending,low,2020-01-01 00:00:00,2315,,（未設定）,（未設定）
23,Staging models – orders,in_progress,medium,2026-03-10,55,Karl,Data Warehouse,Database
4,Landing page animation,in_progress,medium,2026-03-15,50,Alice,Web Redesign,Frontend
11,Migrate /auth endpoints,in_progress,urgent,2026-03-20,45,Eve,API v2 Migration,Security
5,SEO metadata & OG tags,pending,low,2026-03-20,45,Carol,Web Redesign,Frontend
26,JWT issuance service,in_progress,urgent,2026-03-25,40,Leo,Auth Overhaul,Backend
7,Accessibility audit (WCAG 2.1),review,high,2026-03-25,40,Carol,Web Redesign,Testing
12,Migrate /users endpoints,in_progress,high,2026-03-25,40,Frank,API v2 Migration,Backend
37,Renew wildcard TLS certificate,pending,urgent,2026-03-28,37,Leo,（未設定）,Security
27,OAuth2 provider integration,in_progress,high,2026-03-28,37,Mia,Auth Overhaul,Backend
36,Upgrade Node.js to v22 LTS,pending,medium,2026-03-31,34,Frank,（未設定）,DevOps
24,Redshift cluster sizing,pending,low,2026-04-01,33,Judy,Data Warehouse,DevOps
15,Integration test suite,review,high,2026-04-01,33,Dave,API v2 Migration,Testing
28,Session migration script,pending,urgent,2026-04-05,29,Leo,Auth Overhaul,Database
13,Migrate /orders endpoints,pending,high,2026-04-05,29,Grace,API v2 Migration,Backend
29,Pen-test (auth scope),pending,urgent,2026-04-10,24,Dave,Auth Overhaul,Security
6,Cross-browser testing,pending,medium,2026-04-10,24,Dave,Web Redesign,Testing
14,SDK code-gen from spec,pending,medium,2026-04-15,19,Eve,API v2 Migration,Backend
8,Performance optimisation,pending,high,2026-04-20,14,Bob,Web Redesign,Frontend
16,API changelog & migration guide,pending,low,2026-05-01,3,Carol,API v2 Migration,Docs
18,Auth screens (login/signup),pending,high,2026-05-01,3,Ivan,Mobile App MVP,Frontend
